query_id;dop;execution_time;executor_start_time;query_used_mem;operator_mem;process_used_mem;estimate_work_mem;cstore_buffers;instance_mem;max_dynamic_memory;dynamic_startup_memory;init_used_memory;dynamic_peak_memory;other_memory;io_time;cpu_time;total_costs;operator_num;table_names;query_string;
1;8;4294.91;92.611;228352;64404;5137408;2666496;5334016;33554432;23449600;637952;723968;866304;726016;0;0;3.22084e+06;7;lineitem;select  l_returnflag,  l_linestatus,  sum(l_quantity) as sum_qty,  sum(l_extendedprice) as sum_base_price,  sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,  sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)/1000) as sum_charge,   avg(l_quantity) as avg_qty,  avg(l_extendedprice) as avg_price,  avg(l_discount) as avg_disc,  count(*) as count_order from  lineitem where  l_shipdate <= date '1998-12-01' - NUMTODSINTERVAL(3,'DAY') group by  l_returnflag,  l_linestatus order by  l_returnflag,  l_linestatus;
3;8;3299.12;180.347;701440;438035;5074944;2666496;5334016;33554432;23449600;638976;880640;1340416;1107968;0;0;2.09212e+07;15;lineitem,orders,customer;select  l_orderkey,  sum(l_extendedprice * (1 - l_discount)) as revenue,  o_orderdate,  o_shippriority from  customer,  orders,  lineitem where  c_mktsegment = 'BUILDING'  and c_custkey = o_custkey  and l_orderkey = o_orderkey  and o_orderdate < '1995-03-15'::date  and l_shipdate > '1995-03-15'::date group by  l_orderkey,  o_orderdate,  o_shippriority order by  revenue desc,  o_orderdate limit 10 ;
4;8;3532.55;170.772;851968;593127;3354624;2666496;5334016;33554432;23449600;640000;847872;1491968;801792;0;0;2.46189e+06;13;lineitem,orders;select  o_orderpriority,  count(*) as order_count from  orders where  o_orderdate >= '1993-07-01'::date  and o_orderdate < '1993-07-01'::date + NUMTOYMINTERVAL(3,'month')  and exists (   select    *   from    lineitem   where    l_orderkey = o_orderkey    and l_commitdate < l_receiptdate  ) group by  o_orderpriority order by  o_orderpriority;
5;8;1459.37;198.695;504832;237302;5071872;2666496;5334016;33554432;23449600;638976;875520;1143808;1104896;0;0;3.64391e+06;21;region,nation,supplier,lineitem,orders,customer;select  n_name,  sum(l_extendedprice * (1 - l_discount)) as revenue from  customer,  orders,  lineitem,  supplier,  nation,  region where  c_custkey = o_custkey  and l_orderkey = o_orderkey  and l_suppkey = s_suppkey  and c_nationkey = s_nationkey  and s_nationkey = n_nationkey  and n_regionkey = r_regionkey  and r_name = 'ASIA'  and o_orderdate >= '1994-01-01'::date  and o_orderdate < '1994-01-01'::date + NUMTOYMINTERVAL(1,'year') group by  n_name order by  revenue desc;
6;8;933.29;17.506;84992;9304;4659200;2666496;5334016;33554432;23449600;640000;647168;724992;661504;0;0;1.33337e+06;5;lineitem;select  sum(l_extendedprice * l_discount) as revenue from  lineitem where  l_shipdate >= '1994-01-01'::date   and l_shipdate < '1994-01-01'::date + NUMTOYMINTERVAL(1,'year')  and l_discount between 0.06 - 0.01 and 0.06 + 0.01  and l_quantity < 24;
7;8;2830.38;248.308;672768;330523;5671936;2666496;5334016;33554432;23449600;640000;941056;1312768;1315840;0;0;4.00807e+06;23;nation,customer,orders,lineitem,supplier;select  supp_nation,  cust_nation,  l_year,  sum(volume) as revenue from  (   select    n1.n_name as supp_nation,    n2.n_name as cust_nation,    extract(year from l_shipdate) as l_year,    l_extendedprice * (1 - l_discount) as volume   from    supplier,    lineitem,    orders,    customer,    nation n1,    nation n2   where    s_suppkey = l_suppkey    and o_orderkey = l_orderkey    and c_custkey = o_custkey    and s_nationkey = n1.n_nationkey    and c_nationkey = n2.n_nationkey    and (     (n1.n_name = 'FRANCE' and n2.n_name = 'GERMANY')     or (n1.n_name = 'GERMANY' and n2.n_name = 'FRANCE')    )    and l_shipdate between date '1995-01-01' and date '1996-12-31'  ) as shipping group by  supp_nation,  cust_nation,  l_year order by  supp_nation,  cust_nation,  l_year;
8;8;1660.36;263.903;566272;205141;5582848;2666496;5334016;33554432;23449600;638976;996352;1205248;1128448;0;0;3.79392e+06;24;region,nation,customer,orders,lineitem,supplier,part;select  o_year,  sum(case   when nation = 'BRAZIL' then volume   else 0  end) / sum(volume) as mkt_share from  (   select    extract(year from o_orderdate) as o_year,    l_extendedprice * (1 - l_discount) as volume,    n2.n_name as nation   from    part,    supplier,    lineitem,    orders,    customer,    nation n1,    nation n2,    region   where    p_partkey = l_partkey    and s_suppkey = l_suppkey    and l_orderkey = o_orderkey    and o_custkey = c_custkey    and c_nationkey = n1.n_nationkey    and n1.n_regionkey = r_regionkey    and r_name = 'AMERICA'    and s_nationkey = n2.n_nationkey    and o_orderdate between date '1995-01-01' and date '1996-12-31'    and p_type = 'ECONOMY ANODIZED STEEL'  ) as all_nations group by  o_year order by  o_year;
10;8;3783.8;221.064;987136;679586;5635072;2666496;5334016;33554432;23449600;638976;915456;1626112;1315840;0;0;7.25949e+06;18;nation,lineitem,orders,customer;select  c_custkey,  c_name,  sum(l_extendedprice * (1 - l_discount)) as revenue,  c_acctbal,  n_name,  c_address,  c_phone,  c_comment from  customer,  orders,  lineitem,  nation where  c_custkey = o_custkey  and l_orderkey = o_orderkey  and o_orderdate >= date '1993-10-01'  and o_orderdate < date '1993-10-01' + NUMTOYMINTERVAL(3,'month')  and l_returnflag = 'R'  and c_nationkey = n_nationkey group by  c_custkey,  c_name,  c_acctbal,  c_phone,  n_name,  c_address,  c_comment order by  revenue desc limit 20 ;
11;8;904.564;24.995;196608;112113;1071104;2666496;5334016;33554432;23449600;638976;652288;835584;294912;0;0;1.56221e+06;17;nation,supplier,partsupp;select  ps_partkey,  sum(ps_supplycost * ps_availqty) as value from  partsupp,  supplier,  nation where  ps_suppkey = s_suppkey  and s_nationkey = n_nationkey  and n_name = 'GERMANY' group by  ps_partkey having   sum(ps_supplycost * ps_availqty) > (    select     sum(ps_supplycost * ps_availqty) * 0.0001/100    from     partsupp,     supplier,     nation    where     ps_suppkey = s_suppkey     and s_nationkey = n_nationkey     and n_name = 'GERMANY'   ) order by  value desc;
12;8;2351.82;124.539;515072;303889;4771840;2666496;5334016;33554432;23449600;638976;792576;1154048;922624;0;0;2.98988e+06;10;lineitem,orders;select  l_shipmode,  sum(case   when o_orderpriority = '1-URGENT'    or o_orderpriority = '2-HIGH'    then 1   else 0  end) as high_line_count,  sum(case   when o_orderpriority <> '1-URGENT'    and o_orderpriority <> '2-HIGH'    then 1   else 0  end) as low_line_count from  orders,  lineitem where  o_orderkey = l_orderkey  and l_shipmode in ('MAIL', 'SHIP')  and l_commitdate < l_receiptdate  and l_shipdate < l_commitdate  and l_receiptdate >= date '1994-01-01'  and l_receiptdate < date '1994-01-01' + NUMTOYMINTERVAL(1,'year') group by  l_shipmode order by  l_shipmode;
