query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
2;0;1;8;Merge Join;12.926;780623.0;780608.0;15937.2;314381;2520;2520;2573;1;45;104857600;524288000;452;none;;;(public.date_dim.d_week_seq = wswscs.d_week_seq);0;0;0;0.0;0.0;0.0;0.0;0.0;Inner;0;0.0;0.0;0.0;0.0;0;0;12,22;1
2;22;1;8;Sort;0.354;0.401;0.199;26.0475;10419;2573;264;0;1;74;104857600;524288000;228;none;;;;0;1;0;0.0;0.0;0.0;0.0;0.0;none;0;0.0;0.0;0.0;0.0;0;0;23;1
2;23;1;8;CTE Scan;0.047;0.047;0.002;208.38;10419;264;10419;0;1;13;104857600;524288000;228;wswscs;;;;0;0;0;0.0;0.0;0.0;0.0;0.0;none;0;0.0;0.0;0.0;0.0;0;0;;1
2;12;1;8;Merge Join;1.014;780609.0;780608.0;191.233;10772;2520;362;2517;1;18;104857600;524288000;232;none;;;(public.date_dim.d_week_seq = ((wswscs.d_week_seq - 53)));0;0;0;0.0;0.0;0.0;0.0;0.0;Inner;0;0.0;0.0;0.0;0.0;0;0;13,16;1
2;16;1;8;Sort;0.457;780606.0;780606.0;26.485;10594;2517;366;0;1;90;104857600;524288000;228;none;;;;0;1;0;0.0;0.0;0.0;0.0;0.0;none;0;0.0;0.0;0.0;0.0;0;0;17;1
2;17;1;8;Hash Join;0.306;780605.0;780605.0;2171.32;10594;366;366;264;1;19;104857600;524288000;228;none;;;(public.date_dim.d_week_seq = wswscs.d_week_seq);0;0;0;0.0;0.0;0.0;0.0;64.9688;Inner;0;0.0;0.0;0.0;0.0;0;0;18,20;1
2;20;1;8;Hash;0.243;780603.0;780603.0;0.0;10419;264;264;0;1;302;104857600;524288000;228;none;;;;0;0;0;0.0;0.0;0.0;0.0;0.0;none;0;0.0;0.0;0.0;0.0;0;0;21;1
2;21;1;8;CTE Scan;780603.0;780603.0;780602.0;208.38;10419;264;10419;0;1;64;104857600;524288000;228;wswscs;;;;0;0;0;0.0;0.0;0.0;0.0;0.0;none;0;0.0;0.0;0.0;0.0;0;0;;1
2;18;1;8;Row Adapter;0.037;1.937;1.321;0.0;363;366;366;0;1;15;104857600;524288000;4;none;;;;0;0;0;0.0;0.0;0.0;0.0;0.0;none;0;0.0;0.0;0.0;0.0;0;0;19;1
2;19;1;8;CStore Scan;1.9;1.9;1.31;2041.67;363;366;73049;0;1;684;104857600;524288000;4;date_dim;;(d_year = 2000);;0;0;0;0.0;0.0;0.0;0.0;0.0;none;0;0.0;0.0;0.0;0.0;0;0;;1
